"src;dst;time"
"144996;519;23516"
"6692;73370;23566"
"297225;73973;23950"
"425343;3604;23971"
"343700;88846;24385"
"413591;47756;24657"
"170952;170707;24673"
"139593;139598;24781"
"124454;12510;24788"
"9208;7117;25166"
"122529;42831;25380"
"379331;8161;25471"
"451768;1988;25490"
"95728;173141;25581"
"206392;42831;25666"
"212156;7117;25717"
"67371;3604;25753"
"89807;3604;25804"
"109527;88695;25915"
"368677;519;26118"
"344200;9851;26135"
"192414;50512;26483"
"351018;35376;26502"
"13123;13808;26640"
"232850;74583;27164"
"243882;61107;27418"
"109527;13808;27497"
"232850;104567;27602"
"47498;151486;27705"
"47519;7117;27841"
"405101;3604;28159"
"50910;553;28828"
"119553;2156;28965"
"166174;22849;28975"
"10241;553;29145"
"279316;2156;29215"
"10343;2156;29255"
"81105;2156;29287"
"442197;21606;29426"
"105545;13790;29664"
"77999;21606;29774"
"193230;2156;29774"
"26629;553;29783"
"144499;81492;30211"
"63839;21606;30319"
"332827;21606;30645"
"68223;2156;31179"
"387335;47666;31286"
"174750;214542;31336"
"162639;21606;31368"
"237987;519;31403"
"425441;103549;31978"
"432626;21606;32138"
"189328;519;32895"
"433504;2156;32980"
"189328;519;33030"
"378310;8;33137"
"59000;93171;33590"
"168424;519;33606"
"137174;378115;33692"
"2149;9304;33744"
"183496;26136;33765"
"38937;148719;33865"
"93171;88;33877"
"2303;11876;33990"
"374809;46754;34069"
"315402;47666;34126"
"295959;295958;34286"
"56426;50329;34443"
"381956;47666;34569"
"39089;6643;34976"
"443983;2156;35149"
"36970;519;35192"
"147717;5438;35389"
"129505;206392;35649"
"122190;10335;36044"
"194069;406342;36048"
"314449;21606;36141"
"87397;87400;36313"
"182906;64911;36717"
"252235;8;36875"
"115818;43515;37023"
"6704;95848;37078"
"124904;2156;37125"
"255850;88078;37367"
"17283;5438;37389"
"124379;194069;37644"
"101209;5438;37854"
"76165;87449;37990"
"147228;5438;38056"
"145408;87449;38200"
"113078;87449;38300"
"29559;519;38356"
"110577;154291;38398"
"206362;64911;38409"
"199695;130621;38466"
"185735;88;38542"
"185735;88;38548"
"101816;2911;38591"
"135265;120250;38612"
"2912;2911;38703"
"206362;13808;38848"
"358677;47666;39047"
"409329;5438;39270"
"405863;357068;39590"
"269340;46754;39692"
"405863;435071;39768"
"16770;22512;39815"
"283614;3604;40061"
"93293;133435;40143"
"368430;3604;40408"
"37265;2517;40503"
"216602;5438;40681"
"343295;2156;40818"
"145888;43515;40855"
"254611;131506;40869"
"189955;2911;41125"
"77982;5438;41161"
"82461;68419;41329"
"142992;245362;41445"
"329762;329763;41568"
"145888;244067;41627"
"77058;87449;41659"
"295882;2156;41711"
"158315;22512;41716"
"88540;519;41826"
"386251;1988;42000"
"386251;9704;42026"
"386251;103549;42070"
"106209;175410;42333"
"59173;35376;42554"
"1912;5438;42967"
"28829;11135;43213"
"54755;23336;43272"
"14164;11135;43280"
"320599;519;43352"
"68498;11135;43420"
"223125;13808;43618"
"212560;17871;43632"
"82741;17871;43649"
"100771;17871;43657"
"246346;519;43712"
"26238;17871;43757"
"44784;17871;43788"
"193112;17871;43831"
"369224;17871;43883"
"272570;272569;43921"
"3172;2911;43994"
"205945;17871;44044"
"82142;17871;44134"
"242261;17871;44143"
"369224;17871;44170"
"10053;39422;44289"
"204518;93335;44338"
"162855;39422;44376"
"112667;79983;44493"
"31187;50910;44615"
"149824;15538;44623"
"253094;319542;44714"
"197357;17871;44742"
"118375;6790;44981"
"26251;17871;45081"
"60845;191618;45485"
"404614;404613;45509"
"126500;11286;45549"
"73725;191618;45809"
"80084;80077;45809"
"154584;39101;45931"
"326051;116323;46475"
"87330;87400;46548"
"135555;180570;46550"
"95586;180570;46635"
"95697;180570;46716"
"191607;87400;46744"
"70057;9903;46859"
"130757;13812;46891"
"320134;183099;47019"
"227558;14476;47178"
"130791;786;47204"
"152400;13809;47374"
"51241;89805;47462"
"107743;51241;47547"
"20358;88277;47762"
"329011;41733;47840"
"42913;5438;48077"
"329388;13811;48308"
"42850;13809;48437"
"381414;13811;48512"
"170925;288089;48580"
"46056;28996;48777"
"126734;28996;48893"
"94269;94869;49158"
"415407;50512;49191"
"82679;53351;49276"
"279983;121548;49322"
"231918;50867;49344"
"343677;50867;49373"
"68391;90718;49419"
"83622;81190;49511"
"208997;50329;49624"
"424239;93032;49629"
"204111;90718;49697"
"364295;121548;49736"
"100414;519;49777"
"100414;17871;49788"
"437923;8;49837"
"60201;26486;49852"
"42137;26486;50053"
"369752;13809;50209"
"198924;2156;50268"
"43352;28996;50287"
"211701;110933;50407"
"149737;17939;50483"
"340007;121548;50572"
"42335;17939;50586"
"107376;21606;50592"
"35619;160420;50601"
"162085;100414;50626"
"92688;15538;50629"
"206362;13811;50663"
"100306;9288;50679"
"359385;1221;50944"
"92688;13811;51005"
"341759;33116;51009"
"264063;9288;51035"
"452671;26486;51055"
"140301;17939;51058"
"170141;26486;51132"
"233404;94869;51222"
"213519;121548;51222"
"71148;5438;51235"
"403954;28996;51337"
"19640;11135;51401"
"195446;43515;51454"
"100868;121991;51478"
"232891;1221;51691"
"207704;28996;51718"
"295584;59343;51726"
"83479;17939;51843"
"77846;17939;51862"
"265816;265813;51986"
"24919;17939;51998"
"369236;1221;52209"
"17600;26486;52211"
"242840;17939;52227"
"107585;50456;52714"
"258313;242386;52765"
"171145;17871;53160"
"387223;17871;53267"
"309547;39422;53378"
"11516;1813;53390"
"30539;17871;53489"
"18506;50947;53536"
"211640;17939;53597"
"187228;17939;53670"
"23616;143494;53726"
"23979;50947;53787"
"341901;100414;54137"
"46053;9161;54384"
"217322;39084;54402"
"51853;73608;54428"
"4;26486;54495"
"107619;7399;54507"
"10269;7399;54509"
"329291;26486;54523"
"59072;26486;54524"
"118970;26486;54536"
"450774;26486;54556"
"78347;26486;54603"
"48985;26486;54611"
"22566;26486;54620"
"51652;26486;54622"
"268170;26486;54626"
"37240;26486;54633"
"6999;26486;54644"
"7394;26486;54646"
"167;26486;54646"
"209474;26486;54652"
"159983;26486;54676"
"159981;26486;54691"
"350200;26486;54722"
"28333;26486;54730"
"248971;26486;54735"
"255849;26486;54737"
"143654;510;54762"
"95455;26486;54773"
"368867;510;54774"
"142644;26486;54787"
"40851;26486;54809"
"4319;26486;54827"
"152095;510;54871"
"22682;510;54871"
"219218;17939;54886"
"14054;510;54890"
"170702;510;54891"
"18270;26486;54903"
"36950;26486;54920"
"203001;26486;54922"
"107006;26486;54947"
"24688;26486;54966"
"69515;41479;54966"
"210100;510;54971"
"142125;510;54971"
"143579;26486;54972"
"167846;39084;54982"
"233730;26486;54987"
"171000;88;54991"
"389738;26486;54991"
"199748;510;54999"
"27357;26486;55005"
"130535;510;55016"
"108380;510;55023"
"25862;26486;55028"
"131430;26486;55042"
"106666;26486;55045"
"290756;26486;55054"
"148602;510;55073"
"1825;26486;55101"
"99846;510;55117"
"28254;26486;55165"
"54738;510;55179"
"16304;50910;55196"
"180842;510;55202"
"64528;26486;55204"
"255849;43515;55205"
"113232;26486;55221"
"18665;64362;55226"
"255849;463;55241"
"27959;26486;55247"
"185591;510;55261"
"56132;26486;55263"
"185591;510;55277"
"124342;26486;55279"
"29459;26486;55285"
"37694;26486;55289"
"14517;26486;55293"
"79338;510;55295"
"56903;5914;55297"
"154833;26486;55299"
"142623;17871;55326"
"438160;26486;55348"
"172473;510;55373"
"36634;26486;55378"
"87890;26486;55380"
"152579;510;55394"
"33962;26486;55440"
"117051;510;55472"
"43676;26486;55477"
"135916;26486;55479"
"22505;26486;55495"
"67614;26486;55537"
"279880;26486;55542"
"42959;26486;55543"
"87889;26486;55543"
"212781;13765;55561"
"70071;89338;55568"
"7856;26486;55570"
"342129;26486;55582"
"91992;26486;55586"
"161069;510;55628"
"33551;26486;55628"
"151979;17871;55646"
"164503;26486;55646"
"78750;510;55664"
"17520;26486;55665"
"118326;26486;55670"
"295227;26486;55683"
"138173;64362;55715"
"155471;26486;55734"
"541;10253;55744"
"60857;18065;55844"
"74713;26486;55849"
"63406;19919;55888"
"90459;510;55899"
"144247;18065;55922"
"215675;28996;55935"
"104059;26486;55943"
"371881;26486;55959"
"25907;109494;56011"
"181364;26486;56060"
"190316;510;56074"
"216817;510;56086"
"258751;13765;56098"
"344287;26486;56150"
"245817;113290;56172"
"138089;26486;56193"
"293156;74938;56233"
"9131;26486;56236"
"93195;26486;56305"
"28245;28390;56423"
"139359;26486;56428"
"147421;60146;56445"
"369633;13603;56448"
"148247;60146;56450"
"183569;26486;56511"
"74936;26486;56513"
"336508;26486;56546"
"101906;26486;56550"
"220954;13603;56563"
"33548;26486;56564"
"202689;64906;56577"
"179239;510;56601"
"6078;38790;56626"
"322495;322496;56636"
"16016;38790;56662"
"11256;38790;56663"
"166945;510;56698"
"79743;38790;56714"
"106748;38790;56719"
"428629;222088;56726"
"95644;38790;56726"
"129341;38790;56732"
"126714;38790;56752"
"80952;26486;56766"
"158289;2911;56770"
"140970;26486;56865"
"147993;38790;56932"
"149346;26486;56936"
"27252;38790;56936"
"160629;38790;56961"
"147036;38790;56963"
"88816;38790;56997"
"260323;26486;56998"
"52944;26486;57001"
"261100;11286;57021"
"87639;26486;57058"
"383807;113290;57098"
"58488;26486;57100"
"26417;26486;57116"
"145918;38790;57144"
"201308;510;57155"
"24513;510;57158"
"78328;1813;57182"
"321527;113290;57187"
"330171;279207;57223"
"249877;26486;57229"
"134290;26486;57274"
"89248;26486;57288"
"14368;519;57294"
"138663;1813;57303"
"133067;26486;57304"
"433378;433379;57363"
"182043;9161;57400"
"30096;38790;57443"
"126571;9161;57446"
"97301;26486;57457"
"3624;26486;57465"
"144815;38790;57498"
"110093;38790;57527"
"1400;26486;57618"
"20031;26486;57639"
"108801;26486;57653"
"245543;77616;57690"
"48226;38790;57724"
"128871;38790;57733"
"434675;510;57740"
"175569;38790;57741"
"138666;1813;57770"
"18057;38790;57774"
"167681;35376;57779"
"85847;26486;57793"
"50910;38790;57825"
"70111;38790;57837"
"23774;26486;57854"
"12751;38790;57875"
"247775;26486;57895"
"276891;38790;57901"
"19113;38790;57903"
"64606;38790;57905"
"9351;38790;57911"
"360557;38790;57923"
"71430;38790;57929"
"146704;38790;57933"
"144646;38790;57945"
"76940;38790;57949"
"407383;38790;57952"
"354323;26486;57953"
"7245;38790;57962"
"55807;510;57989"
"23976;38790;57989"
"264411;122444;58021"
"168623;510;58043"
"302519;5438;58054"
"13013;38790;58057"
"328870;113290;58067"
"194192;9903;58084"
"96291;38790;58091"
"130582;510;58095"
"139112;38790;58102"
"305128;38790;58110"
"166628;17871;58118"
"133571;38790;58121"
"71897;11135;58133"
"3636;38790;58146"
"157599;38790;58175"
"76132;38790;58209"
"19048;38790;58237"
"223726;223718;58249"
"72252;26486;58250"
"17561;26486;58257"
"27202;5438;58311"
"99707;38790;58319"
"65474;26486;58320"
"24299;38790;58328"
"124549;26486;58328"
"248466;17871;58337"
"24593;26486;58342"
"403358;26486;58344"
"160612;38790;58346"
"135427;74938;58369"
"103759;38790;58409"
"45677;26486;58414"
"16363;26486;58418"
"128817;510;58513"
"5123;38790;58525"
"48084;38790;58559"
"78328;38790;58608"
"35839;38790;58618"
"211369;38790;58618"
"112862;38790;58623"
"58769;38790;58640"
"73813;26486;58662"
"101238;13798;58680"
"261594;261597;58682"
"281493;26486;58741"
"43420;26486;58759"
"49605;38790;58768"
"115005;38790;58813"
"136726;38790;58820"
"24890;26486;58826"
"30097;13798;58837"
"19335;26486;58850"
"52730;510;58856"
"354470;38790;58874"
"137188;510;58924"
"155034;38790;58964"
"47309;38790;58995"
"185057;26486;59007"
"13968;38790;59008"
"168935;38790;59051"
"16649;26486;59058"
"155637;26486;59070"
"303664;26486;59094"
"286005;26486;59100"
"109047;13603;59106"
"212805;26486;59126"
"345303;300983;59135"
"75689;26486;59137"
"264232;26486;59141"
"68221;38790;59150"
"190887;26486;59151"
"255242;26486;59164"
"108383;26486;59181"
"168677;26486;59192"
"46418;38790;59246"
"394139;26486;59254"
"19295;38790;59262"
"61732;26486;59286"
"221496;26486;59304"
"207728;38790;59308"
"106644;26486;59308"
"1126;26486;59317"
"163347;20464;59333"
"447852;26486;59341"
"26972;26486;59367"
"30422;26486;59371"
"414398;26486;59371"
"60587;20464;59382"
"223914;38790;59408"
"273860;26486;59429"
"287068;26486;59446"
"91965;38790;59483"
"206354;38790;59489"
"92528;4974;59505"
"21804;26486;59529"
"44799;38790;59547"
"424861;26486;59565"
"405484;26486;59578"
"196530;26486;59584"
"50218;35376;59602"
"137490;26486;59606"
"93620;26486;59627"
"145108;38790;59644"
"190403;26486;59682"
"167769;38790;59725"
"309469;17939;59742"
"185374;26486;59747"
"160633;38790;59766"
"38532;26486;59791"
"106247;4974;59812"
"366196;50434;59830"
"222831;50434;59842"
"62455;38790;59864"
"125614;6410;59870"
"440554;38790;59880"
"31987;26486;59951"
"415626;510;60028"
"239052;26486;60076"
"37983;38790;60084"
"72252;38790;60115"
"401841;26486;60140"
"418178;26486;60209"
"372698;510;60238"
"332257;2412;60268"
"77346;26486;60315"
"415261;26486;60342"
"213518;121548;60353"
"33142;33116;60361"
"104057;35376;60364"
"192086;99209;60372"
"330639;26486;60391"
"376822;26486;60423"
"196531;26486;60426"
"6982;50920;60437"
"50952;50920;60471"
"41051;26486;60491"
"107693;38790;60545"
"134283;38790;60551"
"53393;26486;60562"
"140815;38790;60598"
"434243;52774;60636"
"41633;9682;60701"
"173781;26486;60719"
"371274;50954;60739"
"22036;38790;60740"
"104567;22240;60762"
"198531;50434;60785"
"242089;26486;60843"
"41152;24215;60856"
"85441;38790;60862"
"107353;510;60903"
"226555;50434;60931"
"90366;26486;60954"
"434932;26486;60960"
"275382;38790;60992"
"19827;26486;61057"
"138665;38790;61074"
"147808;38790;61124"
"4582;65644;61135"
"33097;9410;61142"
"410627;26486;61156"
"204290;50434;61183"
"102804;26486;61189"
"277321;26486;61225"
"35184;38790;61237"
"110592;26486;61247"
"214857;26486;61337"
"104057;35376;61392"
"134023;26486;61409"
"3248;236913;61514"
"252733;510;61518"
"396290;50434;61522"
"35809;38790;61523"
"25024;510;61561"
"134107;38790;61569"
"104567;22240;61619"
"73371;77616;61636"
"51638;26486;61659"
"162863;38790;61699"
"50114;22240;61714"
"31351;38790;61823"
"2298;65644;61856"
"266825;65644;61868"
"16578;38790;61935"
"346418;510;61944"
"447398;447633;61964"
"32780;65644;61969"
"256772;50434;61973"
"217972;217969;61976"
"171095;38790;61981"
"314759;26486;62056"
"205159;86224;62075"
"24629;510;62168"
"271112;26486;62216"
"410700;26486;62245"
"261212;65644;62358"
"209129;13123;62360"
"437149;26486;62390"
"110388;38790;62393"
"176199;3604;62418"
"3933;84647;62471"
"414398;84647;62531"
"145550;510;62597"
"115966;38790;62607"
"68939;3604;62617"
"330895;4974;62641"
"132436;26486;62668"
"23610;510;62680"
"99364;26486;62694"
"10945;510;62709"
"249095;510;62721"
"371197;510;62759"
"77457;510;62774"
"69269;5209;62782"
"306807;275987;62805"
"344380;38790;62815"
"235395;1813;62834"
"236423;26486;62896"
"31032;50434;62922"
"86271;38790;62965"
"211431;433476;62972"
"78593;65867;63076"
"445189;433476;63100"
"217828;26486;63110"
"314127;275987;63150"
"77464;510;63172"
"10950;510;63179"
"235399;1813;63193"
"416526;26486;63207"
"5192;1813;63222"
"75580;26486;63324"
"25183;510;63343"
"91140;38790;63361"
"143412;38790;63426"
"433477;433476;63427"
"50041;3604;63509"
"722;510;63547"
"124398;13603;63555"
"385794;510;63569"
"301422;26486;63646"
"30437;60749;63657"
"317218;26486;63692"
"47469;38790;63732"
"422689;43515;63741"
"41378;26486;64015"
"397380;26486;64222"
"361932;510;64227"
"53575;110903;64306"
"371590;26486;64315"
"326426;26486;64321"
"138591;113361;64347"
"295225;57789;64480"
"78406;26486;64486"
"205759;138420;64534"
"216211;26486;64558"
"410906;26486;64588"
"312363;26486;64611"
"221430;26486;64630"
"413922;50434;64647"
"1359;50920;64681"
"1358;1386;64728"
"1551;26486;64736"
"1379;26486;64751"
"53144;26486;64775"
"282758;3604;64836"
"118602;143210;64852"
"200881;26486;64867"
"149467;12751;64982"
"63483;38790;64986"
"355693;26486;65085"
"301047;53751;65112"
"153793;50329;65141"
"167306;26486;65255"
"278040;26486;65308"
"315529;53751;65335"
"92219;26486;65387"
"387663;143210;65407"
"79460;143210;65446"
"93488;93476;65528"
"31436;17871;65530"
"3369;250519;65582"
"350137;250519;65601"
"207261;250519;65621"
"221339;250519;65628"
"173131;250519;65632"
"447008;250519;65634"
"414756;250519;65640"
"376324;250519;65643"
"144339;250519;65646"
"88491;250519;65647"
"217948;250519;65654"
"228148;204358;65671"
"98473;8;65682"
"387837;250519;65685"
"354906;250519;65686"
"436941;250519;65687"
"442230;250519;65688"
"343164;250519;65694"
"230483;250519;65695"
"173412;250519;65697"
"12580;250519;65701"
"94880;250519;65706"
"451348;250519;65711"
"234508;250519;65713"
"225572;38790;65721"
"335209;250519;65722"
"440430;250519;65723"
"293802;250519;65724"
"214507;250519;65730"
"22313;250519;65732"
"124298;250519;65733"
"229706;250519;65733"
"172534;250519;65734"
"403936;250519;65737"
"164139;250519;65740"
"277659;250519;65744"
"390202;250519;65749"
"18852;250519;65750"
"210119;250519;65752"
"342980;250519;65771"
"287700;250519;65772"
"243349;250519;65776"
"328660;250519;65782"
"206507;250519;65783"
"388770;250519;65786"
"155398;250519;65787"
"65528;250519;65792"
"378484;250519;65794"
"282200;250519;65796"
"438896;250519;65805"
"230276;250519;65816"
"313247;250519;65816"
"36705;250519;65819"
"207933;250519;65820"
"305110;250519;65823"
"190295;250519;65827"
"368929;250519;65828"
"4519;17871;65832"
"388352;250519;65835"
"436552;250519;65838"
"374512;250519;65849"
"408212;250519;65849"
"279143;250519;65858"
"351217;250519;65865"
"62118;250519;65874"
"403954;3604;65894"
"140157;250519;65899"
"74745;250519;65913"
"350621;250519;65918"
"262576;250519;65919"
"357511;250519;65919"
"435947;250519;65921"
"370500;250519;65928"
"413505;250519;65946"
"450295;250519;65948"
"176341;250519;65955"
"416773;250519;65959"
"352384;250519;65959"
"237221;250519;65965"
"395980;250519;65969"
"162536;250519;65976"
"200968;250519;65984"
"304552;250519;65999"
"368666;250519;66035"
"430515;250519;66036"
"109113;510;66053"
"48768;250519;66058"
"444396;250519;66081"
"402196;250519;66085"
"255217;250519;66087"
"360025;250519;66093"
"214999;250519;66096"
"267206;250519;66107"
"192017;250519;66108"
"408509;250519;66112"
"229624;250519;66117"
"190296;250519;66140"
"223917;250519;66142"
"417245;250519;66147"
"341298;250519;66156"
"258526;250519;66160"
"90366;250519;66171"
"28539;510;66182"
"238743;250519;66185"
"156007;250519;66187"
"408440;250519;66200"
"23120;250519;66210"
"253403;250519;66217"
"193604;250519;66229"
"375587;250519;66239"
"47615;250519;66250"
"81202;250519;66251"
"204230;250519;66256"
"362218;250519;66261"
"221069;250519;66268"
"265531;250519;66285"
"144977;250519;66289"
"171050;250519;66308"
"47220;51988;66316"
"406349;250519;66317"
"195518;250519;66324"
"281188;250519;66326"
"313724;250519;66326"
"89922;26486;66326"
"257364;250519;66342"
"315864;250519;66351"
"96937;250519;66353"
"367713;250519;66358"
"272099;250519;66360"
"429523;250519;66364"
"371975;250519;66397"
"258538;250519;66398"
"239074;250519;66419"
"77602;250519;66423"
"420960;250519;66447"
"331228;38790;66450"
"39889;110903;66451"
"318634;250519;66452"
"240922;250519;66457"
"131967;250519;66457"
"413485;250519;66457"
"412042;250519;66463"
"331303;250519;66464"
"402673;250519;66464"
"449554;250519;66472"
"239144;250519;66478"
"179322;250519;66494"
"191005;250519;66494"
"176859;9990;66501"
"199020;60350;66524"
"434429;250519;66524"
"275554;250519;66526"
"347428;250519;66531"
"337321;250519;66548"
"396685;250519;66556"
"397486;250519;66564"
"176388;250519;66568"
"195517;250519;66569"
"234305;250519;66578"
"120050;9990;66581"
"398391;250519;66593"
"357827;250519;66598"
"242724;250519;66603"
"191629;60350;66604"
"193679;250519;66621"
"115889;52934;66626"
"390215;250519;66633"
"425467;250519;66639"
"69308;26486;66644"
"75578;250519;66659"
"422561;250519;66706"
"434877;250519;66721"
"166454;9990;66736"
"229230;250519;66740"
"362624;250519;66744"
"419211;250519;66759"
"65851;60350;66771"
"312498;250519;66783"
"370624;250519;66802"
"153386;9990;66804"
"150704;250519;66806"
"403726;250519;66843"
"418633;250519;66867"
"399551;250519;66895"
"430894;250519;66898"
"208505;26486;66906"
"132829;60350;66907"
"92037;250519;66921"
"344115;250519;66967"
"400283;250519;66968"
"447580;250519;66999"
"348573;250519;67013"
"37412;250519;67016"
"342442;250519;67021"
"15885;60350;67035"
"392032;250519;67037"
"262151;250519;67043"
"78041;250519;67043"
"320256;250519;67051"
"274649;250519;67058"
"255055;510;67072"
"228656;250519;67086"
"406739;250519;67088"
"423818;250519;67101"
"244191;250519;67101"
"384806;250519;67108"
"268263;60350;67129"
"398361;250519;67138"
"143211;53787;67152"
"417244;250519;67159"
"248527;250519;67163"
"386384;250519;67177"
"280645;250519;67177"
"53800;109267;67182"
"73442;60350;67215"
"167547;41382;67226"
"294956;250519;67232"
"190284;41382;67232"
"435205;250519;67239"
"49217;9990;67255"
"291044;250519;67257"
"248899;250519;67260"
"348184;250519;67279"
"175804;60350;67287"
"142862;109267;67292"
"295761;250519;67300"
"454814;41382;67360"
"373515;250519;67361"
"295413;60350;67364"
"406373;250519;67374"
"100196;60350;67385"
"225122;250519;67386"
"167739;250519;67387"
"282095;250519;67391"
"308370;250519;67417"
"240547;250519;67433"
"280425;250519;67475"
"53859;142826;67483"
"321061;250519;67507"
"333973;250519;67529"
"301695;250519;67530"
"129336;41382;67558"
"428614;250519;67559"
"40581;60350;67559"
"51319;40973;67590"
"401410;41382;67598"
"216374;250519;67602"
"123165;40973;67618"
"53810;142826;67619"
"398652;41382;67638"
"365162;250519;67659"
"234003;250519;67666"
"62877;250519;67686"
"290717;250519;67690"
"421819;250519;67695"
"162719;53718;67709"
"384946;250519;67721"
"417843;41382;67732"
"387719;250519;67735"
"424730;250519;67739"
"367706;41382;67746"
"367675;250519;67769"
"395786;250519;67776"
"443594;250519;67783"
"115840;9903;67792"
"362314;250519;67811"
"162721;142823;67831"
"302527;250519;67843"
"112582;250519;67849"
"261145;250519;67908"
"5021;25018;67920"
"133017;50920;67922"
"26043;33281;67955"
"118927;250519;67973"
"142835;142823;67980"
"276745;250519;67988"
"194253;88;67994"
"54312;5438;68025"
"53819;142823;68032"
"77943;8303;68035"
"73591;250519;68052"
"38327;77616;68052"
"38327;77616;68071"
"43352;22926;68095"
"242386;258317;68119"
"424033;250519;68133"
"221823;26486;68138"
"119282;77616;68143"
"118365;123163;68188"
"440378;250519;68190"
"207121;11876;68209"
"455039;250519;68227"
"242386;258313;68231"
"196162;65644;68242"
"213439;250519;68242"
"201649;250519;68248"
"196162;41382;68254"
"143546;123165;68277"
"247273;142823;68313"
"74765;8303;68318"
"250626;250519;68336"
"350824;250519;68339"
"324358;250519;68381"
"347081;250519;68384"
"395629;143210;68391"
"44798;38790;68397"
"16431;65644;68418"
"371956;250519;68432"
"25661;5371;68467"
"293237;170623;68472"
"279805;250519;68497"
"209664;26486;68499"
"384164;12641;68545"
"310788;250519;68579"
"298623;41382;68583"
"238911;250519;68592"
"235296;250519;68664"
"141204;250519;68685"
"164151;9951;68693"
"430600;250519;68747"
"164031;70352;68747"
"215785;250519;68750"
"322465;12641;68751"
"322465;12641;68754"
"190847;65644;68767"
"290304;125419;68776"
"162541;204110;68796"
"252636;250519;68811"
"423736;204110;68814"
"424606;204110;68832"
"411422;250519;68841"
"446240;204110;68856"
"361614;204110;68867"
"453599;204110;68871"
"149249;250519;68874"
"395194;250519;68881"
"421370;250519;68888"
"184994;123165;68910"
"437910;204110;68917"
"202743;204110;68932"
"321079;26486;68944"
"400242;250519;68946"
"177672;12641;68981"
"130733;11555;68984"
"182979;250519;69003"
"8966;11876;69020"
"381032;250519;69061"
"191445;250519;69062"
"211529;41382;69098"
"131388;164744;69159"
"375746;250519;69173"
"383308;250519;69179"
"355203;250519;69185"
"18975;26486;69186"
"75083;11876;69212"
"363009;250519;69218"
"180078;109267;69241"
"219303;23314;69246"
"42251;50218;69265"
"142069;65644;69272"
"214042;250519;69277"
"404017;250519;69301"
"376903;250519;69355"
"436484;250519;69356"
"313283;510;69366"
"108653;250519;69368"
"70408;63644;69375"
"166842;250519;69397"
"447036;250519;69450"
"424443;250519;69473"
"199226;302647;69497"
"346255;93032;69509"
"225714;38790;69524"
"200645;302647;69559"
"18665;77616;69588"
"397066;250519;69590"
"271257;51166;69597"
"26398;63931;69603"
"297624;250519;69628"
